Uur,Levering [kWh],Teruglevering [kWh]
02-10-2024 22:15 tot 22:30,29.68992,0.0
02-10-2024 22:30 tot 22:45,27.8343,0.0
02-10-2024 22:45 tot 23:00,11.98548,0.0
02-10-2024 23:00 tot 23:15,1.18638,0.0
02-10-2024 23:15 tot 23:30,1.18638,0.0
02-10-2024 23:30 tot 23:45,1.18638,0.0
02-10-2024 23:45 tot 00:00,1.2168,0.0
03-10-2024 00:00 tot 00:15,1.24722,0.0
03-10-2024 00:15 tot 00:30,1.12554,0.0
03-10-2024 00:30 tot 00:45,9.97776,0.0
03-10-2024 00:45 tot 01:00,8.91306,0.0
03-10-2024 01:00 tot 01:15,2.4336,0.0
03-10-2024 01:15 tot 01:30,1.2168,0.0
03-10-2024 01:30 tot 01:45,1.33848,0.0
03-10-2024 01:45 tot 02:00,1.09512,0.0
03-10-2024 02:00 tot 02:15,1.0647,0.0
03-10-2024 02:15 tot 02:30,1.24722,0.0
03-10-2024 02:30 tot 02:45,1.33848,0.0
03-10-2024 02:45 tot 03:00,1.18638,0.0
03-10-2024 03:00 tot 03:15,1.0647,0.0
03-10-2024 03:15 tot 03:30,1.09512,0.0
03-10-2024 03:30 tot 03:45,1.33848,0.0
03-10-2024 03:45 tot 04:00,1.2168,0.0
03-10-2024 04:00 tot 04:15,0.97344,0.0
03-10-2024 04:15 tot 04:30,1.39932,0.0
03-10-2024 04:30 tot 04:45,1.27764,0.0
03-10-2024 04:45 tot 05:00,1.18638,0.0
03-10-2024 05:00 tot 05:15,1.2168,0.0
03-10-2024 05:15 tot 05:30,1.18638,0.0
03-10-2024 05:30 tot 05:45,1.27764,0.0
03-10-2024 05:45 tot 06:00,1.0647,0.0
03-10-2024 06:00 tot 06:15,1.46016,0.0
03-10-2024 06:15 tot 06:30,1.27764,0.0
03-10-2024 06:30 tot 06:45,1.33848,0.0
03-10-2024 06:45 tot 07:00,1.27764,0.0
03-10-2024 07:00 tot 07:15,1.33848,0.0
03-10-2024 07:15 tot 07:30,1.3689,0.0
03-10-2024 07:30 tot 07:45,1.76436,0.0
03-10-2024 07:45 tot 08:00,1.27764,0.0
03-10-2024 08:00 tot 08:15,0.94302,0.0
03-10-2024 08:15 tot 08:30,7.4529,0.0
03-10-2024 08:30 tot 08:45,15.75756,0.0
03-10-2024 08:45 tot 09:00,15.87924,0.0
03-10-2024 09:00 tot 09:15,11.98548,0.0
03-10-2024 09:15 tot 09:30,10.06902,0.0
03-10-2024 09:30 tot 09:45,20.71602,0.0
03-10-2024 09:45 tot 10:00,20.13804,0.0
03-10-2024 10:00 tot 10:15,11.52918,0.0
03-10-2024 10:15 tot 10:30,5.35392,0.621301775147929
03-10-2024 10:30 tot 10:45,12.65472,0.591715976331361
03-10-2024 10:45 tot 11:00,27.13464,0.0
03-10-2024 11:00 tot 11:15,12.59388,0.0
03-10-2024 11:15 tot 11:30,10.3428,0.532544378698225
03-10-2024 11:30 tot 11:45,13.93236,0.0
03-10-2024 11:45 tot 12:00,2.22066,0.0887573964497041
03-10-2024 12:00 tot 12:15,0.1521,2.0414201183432
03-10-2024 12:15 tot 12:30,0.0,3.37278106508876
03-10-2024 12:30 tot 12:45,0.48672,3.37278106508876
03-10-2024 12:45 tot 13:00,14.20614,0.0
03-10-2024 13:00 tot 13:15,0.42588,2.89940828402367
03-10-2024 13:15 tot 13:30,0.0,2.8698224852071
03-10-2024 13:30 tot 13:45,5.9319,1.98224852071006
03-10-2024 13:45 tot 14:00,17.30898,0.0
03-10-2024 14:00 tot 14:15,7.84836,0.236686390532544
03-10-2024 14:15 tot 14:30,7.87878,0.443786982248521
03-10-2024 14:30 tot 14:45,9.7344,0.0
03-10-2024 14:45 tot 15:00,7.69626,0.0
03-10-2024 15:00 tot 15:15,5.0193,0.0
03-10-2024 15:15 tot 15:30,10.4949,0.0
03-10-2024 15:30 tot 15:45,17.76528,0.0
03-10-2024 15:45 tot 16:00,16.03134,0.0
03-10-2024 16:00 tot 16:15,24.4881,0.0
03-10-2024 16:15 tot 16:30,71.85204,0.0
03-10-2024 16:30 tot 16:45,81.92106,0.0
03-10-2024 16:45 tot 17:00,63.03024,0.0591715976331361
03-10-2024 17:00 tot 17:15,0.21294,0.0887573964497041
03-10-2024 17:15 tot 17:30,0.4563,0.0
03-10-2024 17:30 tot 17:45,0.27378,0.177514792899408
03-10-2024 17:45 tot 18:00,0.06084,0.236686390532544
03-10-2024 18:00 tot 18:15,0.48672,0.0591715976331361
03-10-2024 18:15 tot 18:30,0.9126,0.0
03-10-2024 18:30 tot 18:45,1.55142,0.0
03-10-2024 18:45 tot 19:00,0.63882,0.0
03-10-2024 19:00 tot 19:15,1.521,0.0
03-10-2024 19:15 tot 19:30,2.37276,0.0
03-10-2024 19:30 tot 19:45,1.58184,0.0
03-10-2024 19:45 tot 20:00,1.46016,0.0
03-10-2024 20:00 tot 20:15,1.521,0.0
03-10-2024 20:15 tot 20:30,1.73394,0.0
03-10-2024 20:30 tot 20:45,1.64268,0.0
03-10-2024 20:45 tot 21:00,1.58184,0.0
03-10-2024 21:00 tot 21:15,15.42294,0.0
03-10-2024 21:15 tot 21:30,2.95074,0.0
03-10-2024 21:30 tot 21:45,1.79478,0.0
03-10-2024 21:45 tot 22:00,1.33848,0.0
03-10-2024 22:00 tot 22:15,1.24722,0.0
03-10-2024 22:15 tot 22:30,1.15596,0.0
03-10-2024 22:30 tot 22:45,1.94688,0.0
03-10-2024 22:45 tot 23:00,1.33848,0.0
03-10-2024 23:00 tot 23:15,1.46016,0.0
03-10-2024 23:15 tot 23:30,1.39932,0.0
03-10-2024 23:30 tot 23:45,1.3689,0.0
03-10-2024 23:45 tot 00:00,1.2168,0.0
04-10-2024 00:00 tot 00:15,1.2168,0.0
04-10-2024 00:15 tot 00:30,1.3689,0.0
04-10-2024 00:30 tot 00:45,1.09512,0.0
04-10-2024 00:45 tot 01:00,1.0647,0.0
04-10-2024 01:00 tot 01:15,1.33848,0.0
04-10-2024 01:15 tot 01:30,1.0647,0.0
04-10-2024 01:30 tot 01:45,1.00386,0.0
04-10-2024 01:45 tot 02:00,1.00386,0.0
04-10-2024 02:00 tot 02:15,1.0647,0.0
04-10-2024 02:15 tot 02:30,1.2168,0.0
04-10-2024 02:30 tot 02:45,1.12554,0.0
04-10-2024 02:45 tot 03:00,1.0647,0.0
04-10-2024 03:00 tot 03:15,1.03428,0.0
04-10-2024 03:15 tot 03:30,1.03428,0.0
04-10-2024 03:30 tot 03:45,1.00386,0.0
04-10-2024 03:45 tot 04:00,1.0647,0.0
04-10-2024 04:00 tot 04:15,1.09512,0.0
04-10-2024 04:15 tot 04:30,1.12554,0.0
04-10-2024 04:30 tot 04:45,1.27764,0.0
04-10-2024 04:45 tot 05:00,0.97344,0.0
04-10-2024 05:00 tot 05:15,1.12554,0.0
04-10-2024 05:15 tot 05:30,1.24722,0.0
04-10-2024 05:30 tot 05:45,1.42974,0.0
04-10-2024 05:45 tot 06:00,1.55142,0.0
04-10-2024 06:00 tot 06:15,1.2168,0.0
04-10-2024 06:15 tot 06:30,1.55142,0.0
04-10-2024 06:30 tot 06:45,1.12554,0.0
04-10-2024 06:45 tot 07:00,1.33848,0.0
04-10-2024 07:00 tot 07:15,1.30806,0.0
04-10-2024 07:15 tot 07:30,1.39932,0.0
04-10-2024 07:30 tot 07:45,1.39932,0.0
04-10-2024 07:45 tot 08:00,1.2168,0.0
04-10-2024 08:00 tot 08:15,1.0647,0.0
04-10-2024 08:15 tot 08:30,0.63882,0.0
04-10-2024 08:30 tot 08:45,0.57798,0.029585798816568
04-10-2024 08:45 tot 09:00,0.33462,0.0591715976331361
04-10-2024 09:00 tot 09:15,0.03042,0.355029585798817
04-10-2024 09:15 tot 09:30,0.09126,0.355029585798817
04-10-2024 09:30 tot 09:45,0.03042,0.414201183431953
04-10-2024 09:45 tot 10:00,0.0,1.00591715976331
04-10-2024 10:00 tot 10:15,0.0,1.12426035502959
04-10-2024 10:15 tot 10:30,0.0,1.77514792899408
04-10-2024 10:30 tot 10:45,0.0,2.27810650887574
04-10-2024 10:45 tot 11:00,0.0,2.48520710059172
04-10-2024 11:00 tot 11:15,0.0,2.1301775147929
04-10-2024 11:15 tot 11:30,4.563,1.71597633136095
04-10-2024 11:30 tot 11:45,41.3712,0.0
04-10-2024 11:45 tot 12:00,36.32148,0.0
04-10-2024 12:00 tot 12:15,2.37276,1.18343195266272
04-10-2024 12:15 tot 12:30,0.0,2.27810650887574
04-10-2024 12:30 tot 12:45,0.0,2.2189349112426
04-10-2024 12:45 tot 13:00,0.0,2.30769230769231
04-10-2024 13:00 tot 13:15,0.0,2.9585798816568
04-10-2024 13:15 tot 13:30,0.0,2.7810650887574
04-10-2024 13:30 tot 13:45,1.03428,3.07692307692308
04-10-2024 13:45 tot 14:00,54.66474,0.0
04-10-2024 14:00 tot 14:15,50.07132,0.0
04-10-2024 14:15 tot 14:30,19.3167,0.0
04-10-2024 14:30 tot 14:45,5.11056,0.0
04-10-2024 14:45 tot 15:00,3.01158,0.0
04-10-2024 15:00 tot 15:15,0.36504,0.828402366863905
04-10-2024 15:15 tot 15:30,0.66924,0.384615384615385
04-10-2024 15:30 tot 15:45,0.0,1.4792899408284
04-10-2024 15:45 tot 16:00,0.9126,0.443786982248521
04-10-2024 16:00 tot 16:15,2.00772,0.0
04-10-2024 16:15 tot 16:30,0.39546,0.384615384615385
04-10-2024 16:30 tot 16:45,0.0,1.4792899408284
04-10-2024 16:45 tot 17:00,0.09126,0.680473372781065
04-10-2024 17:00 tot 17:15,0.0,1.21301775147929
04-10-2024 17:15 tot 17:30,0.0,1.00591715976331
04-10-2024 17:30 tot 17:45,0.03042,0.414201183431953
04-10-2024 17:45 tot 18:00,0.24336,0.14792899408284
04-10-2024 18:00 tot 18:15,0.7605,0.029585798816568
04-10-2024 18:15 tot 18:30,1.58184,0.0
04-10-2024 18:30 tot 18:45,1.27764,0.0
04-10-2024 18:45 tot 19:00,0.7605,0.0
04-10-2024 19:00 tot 19:15,1.39932,0.0
04-10-2024 19:15 tot 19:30,1.79478,0.0
04-10-2024 19:30 tot 19:45,1.49058,0.0
04-10-2024 19:45 tot 20:00,2.06856,0.0
04-10-2024 20:00 tot 20:15,1.73394,0.0
04-10-2024 20:15 tot 20:30,1.64268,0.0
04-10-2024 20:30 tot 20:45,1.15596,0.0
04-10-2024 20:45 tot 21:00,1.79478,0.0
04-10-2024 21:00 tot 21:15,1.27764,0.0
04-10-2024 21:15 tot 21:30,1.30806,0.0
04-10-2024 21:30 tot 21:45,1.27764,0.0
04-10-2024 21:45 tot 22:00,1.39932,0.0
04-10-2024 22:00 tot 22:15,1.15596,0.0
04-10-2024 22:15 tot 22:30,1.27764,0.0
04-10-2024 22:30 tot 22:45,1.76436,0.0
04-10-2024 22:45 tot 23:00,1.55142,0.0
04-10-2024 23:00 tot 23:15,1.70352,0.0
04-10-2024 23:15 tot 23:30,1.61226,0.0
04-10-2024 23:30 tot 23:45,1.27764,0.0
04-10-2024 23:45 tot 00:00,1.58184,0.0
05-10-2024 00:00 tot 00:15,1.15596,0.0
05-10-2024 00:15 tot 00:30,1.15596,0.0
05-10-2024 00:30 tot 00:45,1.0647,0.0
05-10-2024 00:45 tot 01:00,1.33848,0.0
05-10-2024 01:00 tot 01:15,1.09512,0.0
05-10-2024 01:15 tot 01:30,1.2168,0.0
05-10-2024 01:30 tot 01:45,1.18638,0.0
05-10-2024 01:45 tot 02:00,1.0647,0.0
05-10-2024 02:00 tot 02:15,1.18638,0.0
05-10-2024 02:15 tot 02:30,1.30806,0.0
05-10-2024 02:30 tot 02:45,1.03428,0.0
05-10-2024 02:45 tot 03:00,1.15596,0.0
05-10-2024 03:00 tot 03:15,1.85562,0.0
05-10-2024 03:15 tot 03:30,1.46016,0.0
05-10-2024 03:30 tot 03:45,1.0647,0.0
05-10-2024 03:45 tot 04:00,0.97344,0.0
05-10-2024 04:00 tot 04:15,0.94302,0.0
05-10-2024 04:15 tot 04:30,1.0647,0.0
05-10-2024 04:30 tot 04:45,1.09512,0.0
05-10-2024 04:45 tot 05:00,1.24722,0.0
05-10-2024 05:00 tot 05:15,1.03428,0.0
05-10-2024 05:15 tot 05:30,1.0647,0.0
05-10-2024 05:30 tot 05:45,1.00386,0.0
05-10-2024 05:45 tot 06:00,1.2168,0.0
05-10-2024 06:00 tot 06:15,1.00386,0.0
05-10-2024 06:15 tot 06:30,1.15596,0.0
05-10-2024 06:30 tot 06:45,1.2168,0.0
05-10-2024 06:45 tot 07:00,1.15596,0.0
05-10-2024 07:00 tot 07:15,7.9092,0.0
05-10-2024 07:15 tot 07:30,9.5823,0.0
05-10-2024 07:30 tot 07:45,8.76096,0.0
05-10-2024 07:45 tot 08:00,6.57072,0.0
05-10-2024 08:00 tot 08:15,5.3235,0.0
05-10-2024 08:15 tot 08:30,4.4109,0.0
05-10-2024 08:30 tot 08:45,7.66584,0.0
05-10-2024 08:45 tot 09:00,37.78164,0.0
05-10-2024 09:00 tot 09:15,7.20954,0.118343195266272
05-10-2024 09:15 tot 09:30,20.65518,0.029585798816568
05-10-2024 09:30 tot 09:45,15.02748,0.0
05-10-2024 09:45 tot 10:00,2.82906,0.857988165680473
05-10-2024 10:00 tot 10:15,0.03042,0.887573964497041
05-10-2024 10:15 tot 10:30,0.0,1.06508875739645
05-10-2024 10:30 tot 10:45,0.0,1.89349112426035
05-10-2024 10:45 tot 11:00,0.0,1.65680473372781
05-10-2024 11:00 tot 11:15,0.0,0.917159763313609
05-10-2024 11:15 tot 11:30,0.0,1.18343195266272
05-10-2024 11:30 tot 11:45,0.0,1.89349112426035
05-10-2024 11:45 tot 12:00,0.0,2.0414201183432
05-10-2024 12:00 tot 12:15,0.0,2.24852071005917
05-10-2024 12:15 tot 12:30,0.4563,2.10059171597633
05-10-2024 12:30 tot 12:45,10.9512,0.0
05-10-2024 12:45 tot 13:00,11.4075,0.0
05-10-2024 13:00 tot 13:15,8.5176,0.0
05-10-2024 13:15 tot 13:30,35.40888,0.0
05-10-2024 13:30 tot 13:45,6.11442,0.0
05-10-2024 13:45 tot 14:00,0.94302,1.00591715976331
05-10-2024 14:00 tot 14:15,4.7151,1.33136094674556
05-10-2024 14:15 tot 14:30,18.61704,0.0
05-10-2024 14:30 tot 14:45,10.12986,0.502958579881657
05-10-2024 14:45 tot 15:00,8.03088,0.0
05-10-2024 15:00 tot 15:15,3.43746,0.0
05-10-2024 15:15 tot 15:30,0.48672,0.976331360946746
05-10-2024 15:30 tot 15:45,0.0,1.62721893491124
05-10-2024 15:45 tot 16:00,0.0,2.0414201183432
05-10-2024 16:00 tot 16:15,0.39546,0.946745562130177
05-10-2024 16:15 tot 16:30,0.6084,0.029585798816568
05-10-2024 16:30 tot 16:45,0.21294,0.29585798816568
05-10-2024 16:45 tot 17:00,0.03042,0.473372781065089
05-10-2024 17:00 tot 17:15,0.12168,0.325443786982249
05-10-2024 17:15 tot 17:30,0.18252,0.236686390532544
05-10-2024 17:30 tot 17:45,0.03042,0.266272189349112
05-10-2024 17:45 tot 18:00,0.48672,0.0
05-10-2024 18:00 tot 18:15,1.46016,0.0
05-10-2024 18:15 tot 18:30,2.98116,0.0
05-10-2024 18:30 tot 18:45,5.65812,0.0
05-10-2024 18:45 tot 19:00,1.64268,0.0
05-10-2024 19:00 tot 19:15,2.1294,0.0
05-10-2024 19:15 tot 19:30,1.8252,0.0
05-10-2024 19:30 tot 19:45,1.39932,0.0
05-10-2024 19:45 tot 20:00,2.03814,0.0
05-10-2024 20:00 tot 20:15,2.06856,0.0
05-10-2024 20:15 tot 20:30,2.22066,0.0
05-10-2024 20:30 tot 20:45,2.06856,0.0
05-10-2024 20:45 tot 21:00,3.22452,0.0
05-10-2024 21:00 tot 21:15,2.55528,0.0
05-10-2024 21:15 tot 21:30,1.09512,0.0
05-10-2024 21:30 tot 21:45,1.15596,0.0
05-10-2024 21:45 tot 22:00,1.18638,0.0
05-10-2024 22:00 tot 22:15,1.24722,0.0
05-10-2024 22:15 tot 22:30,1.33848,0.0
05-10-2024 22:30 tot 22:45,1.3689,0.0
05-10-2024 22:45 tot 23:00,1.12554,0.0
05-10-2024 23:00 tot 23:15,1.18638,0.0
05-10-2024 23:15 tot 23:30,1.2168,0.0
05-10-2024 23:30 tot 23:45,1.15596,0.0
05-10-2024 23:45 tot 00:00,1.58184,0.0
06-10-2024 00:00 tot 00:15,1.18638,0.0
06-10-2024 00:15 tot 00:30,1.09512,0.0
06-10-2024 00:30 tot 00:45,1.0647,0.0
06-10-2024 00:45 tot 01:00,0.97344,0.0
06-10-2024 01:00 tot 01:15,1.03428,0.0
06-10-2024 01:15 tot 01:30,1.03428,0.0
06-10-2024 01:30 tot 01:45,3.46788,0.0
06-10-2024 01:45 tot 02:00,4.31964,0.0
06-10-2024 02:00 tot 02:15,3.74166,0.0
06-10-2024 02:15 tot 02:30,1.0647,0.0
06-10-2024 02:30 tot 02:45,1.24722,0.0
06-10-2024 02:45 tot 03:00,1.15596,0.0
06-10-2024 03:00 tot 03:15,1.39932,0.0
06-10-2024 03:15 tot 03:30,1.15596,0.0
06-10-2024 03:30 tot 03:45,1.09512,0.0
06-10-2024 03:45 tot 04:00,16.15302,0.0
06-10-2024 04:00 tot 04:15,35.4393,0.0
06-10-2024 04:15 tot 04:30,21.78072,0.0
06-10-2024 04:30 tot 04:45,5.11056,0.0
06-10-2024 04:45 tot 05:00,1.12554,0.0
06-10-2024 05:00 tot 05:15,1.00386,0.0
06-10-2024 05:15 tot 05:30,1.12554,0.0
06-10-2024 05:30 tot 05:45,1.15596,0.0
06-10-2024 05:45 tot 06:00,1.79478,0.0
